# https://refractiveindex.info/tmp/database/data/main/H2O/nk/Hale.txt
# below obtained by splitting k from above url
# wl domain units are um micrometers
# wl	k
0.200	1.10E-7
0.225	4.90E-8
0.250	3.35E-8
0.275	2.35E-8
0.300	1.60E-8
0.325	1.08E-8
0.350	6.50E-9
0.375	3.50E-9
0.400	1.86E-9
0.425	1.30E-9
0.450	1.02E-9
0.475	9.35E-10
0.500	1.00E-9
0.525	1.32E-9
0.550	1.96E-9
0.575	3.60E-9
0.600	1.09E-8
0.625	1.39E-8
0.650	1.64E-8
0.675	2.23E-8
0.700	3.35E-8
0.725	9.15E-8
0.750	1.56E-7
0.775	1.48E-7
0.800	1.25E-7
0.825	1.82E-7
0.850	2.93E-7
0.875	3.91E-7
0.900	4.86E-7
0.925	1.06E-6
0.950	2.93E-6
0.975	3.48E-6
1.0	2.89E-6
1.2	9.89E-6
1.4	1.38E-4
1.6	8.55E-5
1.8	1.15E-4
2.0	1.10E-3
2.2	2.89E-4
2.4	9.56E-4
2.6	3.17E-3
2.65	6.70E-3
2.70	0.019
2.75	0.059
2.80	0.115
2.85	0.185
2.90	0.268
2.95	0.298
3.00	0.272
3.05	0.240
3.10	0.192
3.15	0.135
3.20	0.0924
3.25	0.0610
3.30	0.0368
3.35	0.0261
3.40	0.0195
3.45	0.0132
3.50	0.0094
3.6	0.00515
3.7	0.00360
3.8	0.00340
3.9	0.00380
4.0	0.00460
4.1	0.00562
4.2	0.00688
4.3	0.00845
4.4	0.0103
4.5	0.0134
4.6	0.0147
4.7	0.0157
4.8	0.0150
4.9	0.0137
5.0	0.0124
5.1	0.0111
5.2	0.0101
5.3	0.0098
5.4	0.0103
5.5	0.0116
5.6	0.0142
5.7	0.0203
5.8	0.0330
5.9	0.0622
6.0	0.107
6.1	0.131
6.2	0.0880
6.3	0.0570
6.4	0.0449
6.5	0.0392
6.6	0.0356
6.7	0.0337
6.8	0.0327
6.9	0.0322
7.0	0.0320
7.1	0.0320
7.2	0.0321
7.3	0.0322
7.4	0.0324
7.5	0.0326
7.6	0.0328
7.7	0.0331
7.8	0.0335
7.9	0.0339
8.0	0.0343
8.2	0.0351
8.4	0.0361
8.6	0.0372
8.8	0.0385
9.0	0.0399
9.2	0.0415
9.4	0.0433
9.6	0.0454
9.8	0.0479
10.0	0.0508
10.5	0.0662
11.0	0.0968
11.5	0.142
12.0	0.199
12.5	0.259
13.0	0.305
13.5	0.343
14.0	0.370
14.5	0.388
15.0	0.402
15.5	0.414
16.0	0.422
16.5	0.428
17.0	0.429
17.5	0.429
18.0	0.426
18.5	0.421
19.0	0.414
19.5	0.404
20.0	0.393
21.0	0.382
22	0.373
23	0.367
24	0.361
25	0.356
26	0.350
27	0.344
28	0.338
29	0.333
30	0.328
32	0.324
34	0.329
36	0.343
38	0.361
40	0.385
42	0.409
44	0.436
46	0.462
48	0.488
50	0.514
60	0.587
70	0.576
80	0.547
90	0.536
100	0.532
110	0.531
120	0.526
130	0.514
140	0.500
150	0.495
160	0.496
170	0.497
180	0.499
190	0.501
200	0.504
